products
Name,Name2,Price,Deposit,VolymInml,PricePerLiter,SalesStart,Discontinued,ProductGroup,Type,Style,Packaging,SealType,Origin,OriginCountryName,Producer,Supplier,Vintage,AlcoholContent,AssortmentCode,AssortmentText,Organic,Ethical,Kosher,RawMaterialsDescription
Klaura,,25.60,,330.00,77.58,10/1/15,0,Beer,Amber lager,Märzen and Viennese style,Bottle,,Blekinge County,Sweden,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,5.10%,TSLS,Local & Small-scale,0,0,0,Caramelized and hop varieties tomahawk and cascade.
Pilimausan,,22.30,,330.00,67.58,10/1/15,0,Beer,Pale lager,Pilsner - Czech style,Bottle,,Blekinge County,Sweden,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,4.90%,TSLS,Local & Small-scale,0,0,0,Pilsner Malt and hop varieties magnum and Sladek.
South Plains,Burning Witches Brew,21.80,,330.00,66.06,10/1/15,0,Beer,Ale British-American style,Black IPA,Bottle,,Skåne County,Sweden,South Plains Brewing Company,South Plains Brewing Company,,7.10%,TSLS,Local & Small-scale,0,0,0,"Barley malt and hops varieties Amarillo, Simcoe and Centennial."
Rhum Selection,Barbados,555.00,,500.00,1110.00,10/1/15,0,Rum,Dark rum,,Bottle,,,Barbados,Granqvist Beverage House AB,Granqvist Beverage House AB,,45.00%,BS,Order goods,0,0,0,
Rhum Selection,Guatemala,555.00,,500.00,1110.00,10/1/15,0,Rum,Dark rum,,Bottle,,,Guatemala,Granqvist Beverage House AB,Granqvist Beverage House AB,,45.00%,BS,Order goods,0,0,0,
Rhum Selection,Trinidad,555.00,,500.00,1110.00,10/1/15,0,Rum,Dark rum,,Bottle,,,Trinidad,Granqvist Beverage House AB,Granqvist Beverage House AB,,45.00%,BS,Order goods,0,0,0,
Rhum Selection,Paraguay,599.00,,500.00,1198.00,10/1/15,0,Rum,Dark rum,,Bottle,,,Paraguay,Granqvist Beverage House AB,Granqvist Beverage House AB,,45.00%,BS,Order goods,0,0,0,
Rhum Selection,Belize,599.00,,500.00,1198.00,10/1/15,0,Rum,Dark rum,,Bottle,,,Belize,Granqvist Beverage House AB,Granqvist Beverage House AB,,45.00%,BS,Order goods,0,0,0,
Sterhuis Astra,White,349.00,,750.00,465.33,12/4/15,0,White wine,,,Bottle,Natural Cork,Western Cape,South Africa,Sterhuis,Vinobele AB,2009,14.00%,TSE,Temporary assortment,0,0,0,"Sauvignon blanc, chenin blanc and chardonnay."
Croft,10 Year Old Tawny Port,229.00,,750.00,305.33,12/1/15,0,Aperitif and dessert,Port,Tawny,Bottle,Natural Cork,Douro,Portugal,Croft,Spendrups Bryggeri AB,,20.00%,BS,Order goods,0,0,0,"Touriga Nacional, Touriga Francesa, Tinto Cao, Tinta Roriz and Tinta Barroca."
Rosso di Valtellina,,253.00,,750.00,337.33,9/1/15,0,Red wine,,,Bottle,Natural Cork,Lombardy,Italy,Arpepe,Vinoliv Import AB,2016,12.50%,BS,Order goods,0,0,0,
Ancho Reyes,,478.00,,700.00,682.86,10/1/15,0,Liqueur,Spiced liqueur,,Bottle,,,Mexico,Licorera Ancho Reyes,AliasSmith AB,,40.00%,BS,Order goods,0,0,0,
Escada,Touriga Nacional,89.00,,750.00,118.67,10/1/15,0,Red wine,Fruity & Tasteful,,Bottle,Screw Cap,Lisboa,Portugal,DFJ Vinhos,Fields Wine Company AB,2018,13.00%,FS,Fixed assortment,0,0,0,Touriga Nacional.
Apothic Red,Winemaker's Blend,299.00,,3000.00,99.67,10/1/15,0,Red wine,Fruity & Tasteful,,Box,Push Button Top,California,USA,Apothic Wines,Spendrups Bryggeri AB,2017,13.50%,FS,Fixed assortment,0,0,0,
Dailuaine,Selected by Berrys 22 Years,1771.00,,700.00,2530.00,10/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Berry Bros & Rudd,Clydesdale AB,1992,46.00%,BS,Order goods,0,0,0,
North British,Single Grain Selected by Berrys 18 Years,1458.00,,700.00,2082.86,10/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,Berry Bros & Rudd,Clydesdale AB,1996,56.80%,BS,Order goods,0,0,0,
958 Santero,Cuvèe Extra Dry,89.00,,750.00,118.67,10/1/15,0,Mousserande vin,Dry white,,Bottle,,,Italy,Santero,Obrini Beverage Company AB,,11.50%,BS,Order goods,0,0,0,
Barbera del Monferrato,Livio Pavese,115.00,,750.00,153.33,10/1/15,0,Red wine,Fruity & Tasteful,,Bottle,Natural Cork,Piedmont,Italy,Livio Pavese,Chris-Wine AB,2015,13.50%,FS,Fixed assortment,0,0,0,Barbera.
Primus Zitsa,,169.00,,750.00,225.33,10/1/15,0,White wine,,,Bottle,,Epirus,Greece,Domaine Glinavos,O.Wines and Spirits AB,2013,12.00%,BS,Order goods,0,0,0,
Red Velvet,,170.00,,750.00,226.67,10/1/15,0,Red wine,,,Bottle,,,Greece,Domaine Glinavos,O.Wines and Spirits AB,2013,12.50%,BS,Order goods,0,0,0,
Debina,,139.00,,750.00,185.33,10/1/15,0,Mousserande vin,,,Bottle,,Epirus,Greece,Domaine Glinavos,O.Wines and Spirits AB,2016,12.00%,BS,Order goods,0,0,0,
Allesverloren 1704,,95.00,,750.00,126.67,10/1/15,0,Red wine,,,Bottle,Screw Cap,Western Cape,South Africa,Allesverloren Wine Estate,janake wine group AB,2015,14.00%,BS,Order goods,0,0,0,
MACK by Mackmyra,,349.00,,700.00,498.57,10/1/15,0,Whisky,Malt whiskey,,Bottle,Plastic,,Sweden,Mackmyra Svensk Whisky AB,Mackmyra Svensk Whisky AB,,40.00%,FS,Fixed assortment,0,0,0,
Saint-Aubin Vieilles Vignes,Domaine Roux,259.00,,750.00,345.33,12/1/15,0,White wine,Full-bodied & Tasty,,Bottle,Natural Cork,Burgundy,France,Domaine Roux,Ward Wines AB,2018,13.00%,FS,Fixed assortment,0,0,0,Chardonnay.
Saint-Aubin Vieilles Vignes,Domaine Roux,135.00,,375.00,360.00,12/1/15,0,White wine,Full-bodied & Tasty,,Bottle,Natural Cork,Burgundy,France,Domaine Roux,Ward Wines AB,2018,13.00%,FS,Fixed assortment,0,0,0,Chardonnay.
Saint-Aubin La Princée,Domaine Hubert Lamy,389.00,,750.00,518.67,10/1/15,0,White wine,,,Bottle,Natural Cork,Burgundy,France,Domaine Hubert Lamy,Tryffelsvinet AB,2017,13.00%,BS,Order goods,0,0,0,
Los Frailes,Blanc de Trilogía,165.00,,750.00,220.00,10/1/15,0,White wine,,,Bottle,Natural Cork,Valencia,Spain,Finca Los Frailes,Johan Lidby Vinhandel AB,2018,13.50%,BS,Order goods,1,0,0,
Korlat,Syrah,222.00,,750.00,296.00,10/1/15,0,Red wine,,,Bottle,,Primorska,Croatia,Badel 1862,Triggollo Wine & Spirits AB,2011,14.50%,BS,Order goods,0,0,0,
Ivan Dolac,Plavac Mali,237.00,,750.00,316.00,10/1/15,0,Red wine,,,Bottle,,Primorska,Croatia,Badel 1862,Triggollo Wine & Spirits AB,2009,14.00%,BS,Order goods,1,0,0,
Los Frailes,Monastrell,120.00,,750.00,160.00,10/1/15,0,Red wine,,,Bottle,Screw Cap,Valencia,Spain,Casa Los Frailes,Johan Lidby Vinhandel AB,2018,13.50%,BS,Order goods,1,0,0,
Glenrothes,Chapter 7 Bourbon Hogshead 17 Years,1586.00,,700.00,2265.71,10/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Chapter 7,Clydesdale AB,1997,54.50%,BS,Order goods,0,0,0,
Chapter 7,Peatside Port Finish 6 Years,973.00,,700.00,1390.00,10/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Chapter 7,Clydesdale AB,2009,46.00%,BS,Order goods,0,0,0,
José Pariente,Cuvée Especial,289.00,,750.00,385.33,10/1/15,0,White wine,,,Bottle,Natural Cork,Castile-Leon,Spain,José Pariente,Lancel AB,2013,13.50%,BS,Order goods,0,0,0,
Chateau Ste Michelle,Riesling,119.00,,750.00,158.67,10/1/15,0,White wine,,,Bottle,Screw Cap,Washington State,USA,Chateau Ste Michelle,Vinunic AB,2018,12.50%,BS,Order goods,0,0,0,Riesling.
Cigarra Gran Passo,Touriga Nacional Cabernet Sauvignon,89.00,,750.00,118.67,10/1/15,0,Red wine,Fruity & Tasteful,,Bottle,Screw Cap,Lisboa,Portugal,Casa Santos Lima,Giertz Vinimport AB,2017,14.00%,FS,Fixed assortment,0,0,0,Touriga Nacional and Cabernet Sauvignon.
Sancerre Les Roches,Domaine Vacheron,249.00,,750.00,332.00,12/1/15,0,White wine,Fresh & Fruity,,Bottle,Natural Cork,Loire Valley,France,Domaine Vacheron,The WineAgency Sweden AB,2018,14.00%,FS,Fixed assortment,1,0,0,Sauvignon blanc.
Motörhead,Whisky,666.00,,700.00,951.43,10/1/15,0,Whisky,Malt whiskey,,Bottle,Cap,,Sweden,Mackmyra Svensk Whisky AB,Brands For Fans Sweden AB,,40.00%,FS,Fixed assortment,0,0,0,Barley malt.
Bloom,Premium London Dry Gin,449.00,,700.00,641.43,10/1/15,0,Gin and Genever,Gin,,Bottle,,,UK,G&J Distillers,Hermansson & Co AB,,40.00%,BS,Order goods,0,0,0,
Canua,Sforzato Di Valtellina,428.00,,750.00,570.67,10/1/15,0,Red wine,,,Bottle,,Lombardy,Italy,Conti Sertoli Salis,Skrubbes Wines AB,2009,15.00%,BS,Order goods,0,0,0,
Opihr,Oriental Spiced Gin,449.00,,700.00,641.43,10/1/15,0,Gin and Genever,Gin,,Bottle,,,UK,G&J Distillers,Hermansson & Co AB,,42.50%,BS,Order goods,0,0,0,
Domaine Bott-Geyl,Points Cardinaux Métiss,199.00,,750.00,265.33,10/1/15,0,White wine,,,Bottle,Screw Cap,Alsace,France,Domaine Bott-Geyl,Divine AB,2017,12.50%,BS,Order goods,1,0,0,
Brimoncourt,Extra Brut,535.00,,750.00,713.33,10/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Brimoncourt,Skrubbes Wines AB,,12.50%,BS,Order goods,0,0,0,
Medolago Albani,Valcalepio Rosso Cabernet Sauvignon Merlot,186.00,,750.00,248.00,10/1/15,0,Red wine,,,Bottle,Natural Cork,Lombardy,Italy,Medolago Albani,Enrico Sverige AB,2014,13.00%,BS,Order goods,0,0,0,
Frassinelli,Valdobbiadene Prosecco Superiore Millesimato,161.00,,750.00,214.67,10/1/15,0,Mousserande vin,Dry white,,Bottle,Natural Cork,Venetia,Italy,Azienda Agricola Frassinelli,Enrico Sverige AB,2014,11.50%,BS,Order goods,0,0,0,
Ragnarök Gin,,431.00,,700.00,615.71,10/1/15,0,Gin and Genever,Gin,,Bottle,,,Sweden,Tevsjö Destilleri Järvsö AB,Tevsjö Destilleri i Järvsö AB,,44.00%,BS,Order goods,0,0,0,"Juniper, cumin, cranberries and dill."
Schöfferhofer,Hefeweizen,16.90,,330.00,51.21,10/1/15,0,Beer,Wheat beer,Hefeweizen,Bottle,,,Germany,Radeberger Gruppe KG,TOMP Beer Wine & Spirits AB,,5.00%,BS,Order goods,0,0,0,
Castelmare,Amarone della Valpolicella Classico,179.00,,750.00,238.67,10/1/15,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,Venetia,Italy,Cantina Valpolicella Negrar,Carovin AB,2016,15.00%,FS,Fixed assortment,0,0,0,
KooLooLoo,Cabernet Sauvignon Organic,239.00,,750.00,318.67,10/1/15,0,Red wine,,,Bottle,,California,USA,KooLooLoo Vineyards,Wine Lounge Stockholm AB,2009,14.10%,BS,Order goods,1,0,0,
Ysabel Regina,,597.00,,700.00,852.86,10/1/15,0,Armagnac and Brandy,Brandy,,Bottle,,,Spain,Global Premium Brands,Fine Brands Sweden AB,,42.00%,BS,Order goods,0,0,0,
KooLooLoo,Old Vine Zinfandel Organic,239.00,,750.00,318.67,10/1/15,0,Red wine,,,Bottle,,California,USA,KooLooLoo Vineyards,Wine Lounge Stockholm AB,2008,14.60%,BS,Order goods,1,0,0,
KooLooLoo,Chardonnay Organic,239.00,,750.00,318.67,10/1/15,0,White wine,,,Bottle,,California,USA,KooLooLoo Vineyards,Wine Lounge Stockholm AB,2012,13.50%,BS,Order goods,1,0,0,
Revolution,Cabernet Sauvignon,294.00,,750.00,392.00,10/1/15,0,Red wine,,,Bottle,,California,USA,Napa Wine Arts,Wine Lounge Stockholm AB,2011,14.20%,BS,Order goods,0,0,0,
Rumi,Napa Valley Red,365.00,,750.00,486.67,10/1/15,0,Red wine,,,Bottle,,California,USA,RUMI Wine Company Napa,Wine Lounge Stockholm AB,2010,14.10%,BS,Order goods,0,0,0,
Avinyó,Blanc de Noirs Cava Brut Nature Reserva,200.00,,750.00,266.67,10/1/15,0,Mousserande vin,Dry white,,Bottle,,Cava,Spain,Avinyó,Robert Rask Vinhandel,,11.50%,BS,Order goods,0,0,0,
Lavender Creek,,345.00,,750.00,460.00,10/1/15,0,Red wine,,,Bottle,,California,USA,Napa Wine Arts,Wine Lounge Stockholm AB,2012,13.90%,BS,Order goods,0,0,0,
Lusthof,Pinotage,149.00,,750.00,198.67,10/1/15,0,Red wine,,,Bottle,,Western Cape,South Africa,Alexander Baron von Essen,Wine Lounge Stockholm AB,2013,14.00%,BS,Order goods,0,0,0,
Fuller's,Frontier,19.30,1.00,330.00,58.49,10/1/15,0,Beer,Pale lager,,Can,,,UK,Fuller Smith & Turner,Arvid Nordquist Vin och Sprithandel,,4.50%,BS,Order goods,0,0,0,
Dufvenkrooks,Vinglögg,72.00,,750.00,96.00,10/1/15,0,Glögg and Glühwein,,,Bottle,,,Sweden,Spirit of Sweden,Great Brands AB,,10.00%,BS,Order goods,0,0,0,
Muratie,Ansela van de Caab,199.00,,750.00,265.33,10/1/15,0,Red wine,,,Bottle,,Western Cape,South Africa,Muratie,Wine Lounge Stockholm AB,2012,14.50%,BS,Order goods,0,0,0,
Herrljunga Cider,Ginger Lemon,18.50,,500.00,37.00,10/1/15,0,Cider,Sweet,,Bottle,,,Sweden,Herrljunga Cider AB,Great Brands AB,,4.00%,BS,Order goods,0,0,0,
anCnoc,18 Years,899.00,,700.00,1284.29,10/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,The Knockdhu Distillery,TOMP Beer Wine & Spirits AB,,46.00%,BS,Order goods,0,0,0,
Montirius Lådan,,483.00,,2250.00,214.67,10/1/15,0,Red wine,,,3 bottle à 750 ml,,,France,Domaine Montirius,TM Kvalitetsviner AB,,13.50%,BS,Order goods,1,0,0,
Sancerre,l'Ancienne Vigne,234.00,,750.00,312.00,3/1/96,0,White wine,,,Bottle,,Loire Valley,France,Fournier Père & Fils,Carovin AB,2015,12.50%,BS,Order goods,0,0,0,
Cinclus SC,,147.00,,750.00,196.00,10/1/15,0,White wine,,,Bottle,,,Spain,DG Viticultors,Vivona AB,2011,13.50%,BS,Order goods,0,0,0,
DG Viticultors,Cava Brut Reserva Chardonnay,171.00,,750.00,228.00,10/1/15,0,Mousserande vin,Dry white,,Bottle,,Cava,Spain,DG Viticultors,Vivona AB,2012,12.50%,BS,Order goods,0,0,0,
Insanely Bad Elf,,35.80,,330.00,108.49,10/1/15,0,Beer,Ale British-American style,Barley Wine,Bottle,,England,UK,Ridgeway Brewing,AB Wicked Wine Sweden,,11.20%,BS,Order goods,0,0,0,
Von Winning,Sauvignon Blanc 2 Trocken,169.00,,750.00,225.33,11/2/15,0,White wine,,,Bottle,Screw Cap,Pfalz,Germany,Von Winning,Intermondi AB,2016,12.00%,BS,Order goods,0,0,0,
The English Whisky Co,Clydesdale Sassicaia Cask,935.00,,700.00,1335.71,11/2/15,0,Whisky,Malt whiskey,,Bottle,,,UK,The English Whisky Co,Clydesdale AB,2007,57.10%,BS,Order goods,0,0,0,
Explorer Vodka,,204.00,1.00,700.00,291.43,2/24/16,0,Vodka and Brännvin,Vodka,,PET-Bottle,,,International Brand,Altia Sweden AB,Altia Sweden AB,,37.50%,FS,Fixed assortment,0,0,0,Wheat.
Explorer Vodka,Jordgubb Lime,219.00,1.00,700.00,312.86,3/1/16,0,Flavored spirits,Flavored vodka,,PET-Bottle,,,International Brand,Altia,Altia Sweden AB,,37.50%,FS,Fixed assortment,0,0,0,Cereals.
Költur That's What She Said,Amber Ale,25.90,,330.00,78.49,11/2/15,0,Beer,Ale British-American style,Amber Ale,Bottle,,Stockholm County,Sweden,Brewing Költur,Brewing Költur AB,,5.60%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Barolo,Villaforte,199.00,,750.00,265.33,11/2/15,0,Red wine,Tight & Toned,,Bottle,Natural Cork,Piedmont,Italy,Mare Magnum,Oenoforos AB,2014,14.00%,FS,Fixed assortment,0,0,0,Nebbiolo.
Masi Riserva Costasera,Amarone Classico,1049.00,,1500.00,699.33,12/1/15,0,Red wine,,,Magnum,Natural Cork,Venetia,Italy,Masi Agricola Spa,Vinunic AB,2006,15.50%,BS,Order goods,0,0,0,
Rådanäs Ekologiska Pilsner,,24.90,,330.00,75.46,11/2/15,0,Beer,Pale lager,Pilsner - German style,Bottle,,Västra Götalands County,Sweden,Rådanäs Bryggeri AB,Rådanäs Bryggeri AB,,4.70%,TSLS,Local & Small-scale,1,0,0,Barley and wheat malt SMAT hops.
Helsinge,Porter,41.80,,500.00,83.60,11/2/15,0,Beer,Porter and Stout,Imperial Porter And Stout,Bottle,,Gävleborg County,Sweden,Helsinge Ångbryggeri HB,Svensk Cater AB,2015,7.00%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Prüm Blue,Riesling Kabinett Trocken,159.00,,750.00,212.00,1/15/18,0,White wine,,,Bottle,,Moselle,Germany,S.A. Prüm,Spendrups Bryggeri AB,2017,11.50%,BS,Order goods,0,0,0,
Chianti,Castelsina Riserva,109.00,,750.00,145.33,1/15/18,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,Tuscany,Italy,Cantina Senesi Aretini,Fields Wine Company AB,2015,13.50%,BS,Order goods,0,0,0,Sangiovese.
AIX,Rosé,289.00,,1500.00,192.67,1/15/18,0,Rose wine,,,Magnum,Screw Cap,Provence,France,SRL Maison Saint Aix,We & Wine AB,2017,13.00%,BS,Order goods,0,0,0,
Ferra,Soave Classico,149.00,,750.00,198.67,1/15/18,0,White wine,,,Bottle,,Venetia,Italy,Guerrieri Rizzardi,Sigva AB,2016,13.00%,BS,Order goods,0,0,0,
Chateau Maucoil,Côtes du Rhône Villages Blanc,156.00,,750.00,208.00,1/16/18,0,White wine,,,Bottle,,Rhone Valley,France,Ch. Maucoil,Carovin AB,2016,12.50%,BS,Order goods,1,0,0,
Blue de Mer,Bernard Magrez,812.00,,3000.00,270.67,1/16/18,0,Rose wine,,,Bottle,,Languedoc-Roussillon,France,Bernard Magrez,Skrubbes Wines AB,2016,12.50%,BS,Order goods,0,0,0,
Brewify,Red IPA,28.40,,330.00,86.06,1/22/18,0,Beer,Ale British-American style,Imperial / Double IPA,Bottle,Crown Cap,Stockholm County,Sweden,Brewify AB,Brewify AB,,7.30%,TSLS,Local & Small-scale,0,0,0,"Pale ale, cara pils-, münich-, cara- and chocolat malt and hops varieties warrior and Simcoe."
Lioco,Laguna Pinot Noir,395.00,,750.00,526.67,1/17/18,0,Red wine,,,Bottle,Natural Cork,California,USA,Lioco,Handpicked Wines Sweden AB,2015,13.00%,BS,Order goods,0,0,0,
Lioco,Sativa Carignan,339.00,,750.00,452.00,1/17/18,0,Red wine,,,Bottle,Natural Cork,California,USA,Lioco,Handpicked Wines Sweden AB,2015,12.50%,BS,Order goods,0,0,0,
Farmers Market,Organic,79.00,,750.00,105.33,1/22/18,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,,Italy,Winepartners Nordic AB,Winepartners Nordic AB,,14.00%,FS,Fixed assortment,1,0,0,Mainly Negroamaro and Primitivo.
Stay,Espresso Martini Shot,199.00,,700.00,284.29,1/22/18,0,Liqueur,Other liqueur,,Bottle,,,Denmark,Spritfabriken Danmark,Spivi AB,,16.40%,BS,Order goods,0,0,0,
Ruffino,Chianti Superiore,129.00,,750.00,172.00,1/17/18,0,Red wine,,,Bottle,,Tuscany,Italy,Ruffino,Philipson Söderberg AB,2017,14.00%,BS,Order goods,0,0,0,
The Taste of Nebbiolo,,1116.00,,4500.00,248.00,1/17/18,0,Red wine,,,6 bottle à 750 ml,,Piedmont,Italy,Agricola Bosio srl,Malchamax AB,,14.00%,BS,Order goods,0,0,0,
BrewDog,Indie Pale Ale,15.90,1.00,330.00,48.18,2/13/18,0,Beer,Ale British-American style,American Pale Ale (APA),Can,,,UK,BrewDog,Cask Sweden AB,,4.20%,BS,Order goods,0,0,0,"Barley malt and wheat, and hops."
Shoot Crazy,Crocodile,129.00,,500.00,258.00,1/22/18,0,Liqueur,Other liqueur,,Bottle,,,Norway,Arcus Sweden AB,Arcus Sweden AB,,16.40%,BS,Order goods,0,0,0,
Ysta 50/50,,28.30,0.90,500.00,56.60,12/1/15,0,Beer,Amber lager,Märzen and Viennese style,Bottle,,Skåne County,Sweden,ÖsterlenBryggarna,Anno 1953 AB,,5.00%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Rånäs Slott,Ricossa Piemonte Barbera,139.00,,750.00,185.33,11/2/15,0,Red wine,Soft & Berry,,Bottle,,Piedmont,Italy,MGM Mondo del Vino,Mondo Wine Sweden AB,2018,13.50%,BS,Order goods,0,0,0,Barbera.
Rånäs Slott,Ricossa Roero Arneis,129.00,,750.00,172.00,11/2/15,0,White wine,Fresh & Fruity,,Bottle,,Piedmont,Italy,MGM Mondo del Vino,Mondo Wine Sweden AB,2017,13.00%,BS,Order goods,0,0,0,Arneis.
